datetime,open,high,low,close,volume
1991/3/1,128.25,131.5,128.125,21.805375,7432400
1991/3/4,131.25,132.5,129.875,21.742955,4758400
1991/3/5,130.625,135,129.875,22.221508,9935600
1991/3/6,134.375,134.875,132.625,22.117475,8124000
1991/3/7,132.75,133.75,131.625,22.055055,4770400
1991/3/8,133.125,133.625,131,21.846988,5936000
1991/3/11,130,130.5,128.75,21.493275,7217600
1991/3/12,128.875,129.25,126.5,21.139562,8627200
1991/3/13,127,129.625,126.75,21.493275,6017600
1991/3/14,129.25,130.75,126.5,21.326822,7779600
1991/3/15,127.75,127.75,126.25,21.077142,10766000
1991/3/18,126.375,128.125,126.25,21.285208,5965200
1991/3/19,118.75,119,115,19.16293,25338400
1991/3/20,115,115.375,113.5,18.996476,16028400
1991/3/21,114.75,115,111,18.621956,12931200
1991/3/22,112,112.625,111.25,18.580343,11433200
1991/3/25,111.875,113.625,111.75,18.892443,6387600
1991/3/26,113.5,114.625,113.375,18.954863,5503200
1991/3/27,114.375,114.625,112.5,18.78841,6818800
1991/3/28,114,114.375,112.875,18.954863,6475200
1991/4/1,113.875,114.25,111.875,18.684376,5692000
1991/4/2,112.5,113.5,111.125,18.85083,9072400
1991/4/3,113.375,114.25,113,18.830023,7363600
1991/4/4,113.625,114.75,112.125,18.892443,7753200
1991/4/5,114.125,114.5,112.5,18.746796,6080400
1991/4/8,112.375,113.5,112,18.809216,3860400
1991/4/9,112.75,113.375,111,18.517923,5395600
1991/4/10,111.375,111.625,110,18.517923,7698800
1991/4/11,111.125,111.875,110.125,18.41389,8858800
1991/4/12,111,111,108.125,18.060177,14222000
1991/4/15,108.25,108.375,105.625,17.78969,12107200
1991/4/16,107,109.25,106.75,18.185017,8346800
1991/4/17,109.625,110.75,109.25,18.28905,8356000
1991/4/18,110,110.75,109.375,18.268243,5855200
1991/4/19,109.25,110.25,109,18.22663,8437200
1991/4/22,108.75,109.375,108.125,18.060177,6281600
1991/4/23,109,109.125,107.875,18.03937,3728400
1991/4/24,108.375,108.875,108,18.018563,5768400
1991/4/25,108.375,109.125,107.625,17.97695,4485600
1991/4/26,108,108.25,107.25,17.872917,4094000
1991/4/29,107.75,107.875,104.625,17.456784,7418000
1991/4/30,105.5,105.5,102.125,17.144684,13152800
1991/5/1,102.5,104.5,102.125,17.311137,7776800
1991/5/2,103.75,106,103.75,17.623237,6088400
1991/5/3,105.5,106.5,102,17.248717,12892400
1991/5/6,102.375,103.625,102.375,17.410401,4376000
1991/5/7,103.375,103.5,101.875,17.157771,5144400
1991/5/8,102.125,104,101.75,17.473558,5536000
1991/5/9,104.25,105.875,104.125,17.83145,6174000
1991/5/10,105.875,106,103,17.410401,5457600
1991/5/13,103.625,106,103.25,17.83145,5138400
1991/5/14,105.5,106.25,104.625,17.852503,7864800
1991/5/15,105,105.125,101.25,17.305138,10705600
1991/5/16,103.75,104.25,103,17.536716,5453200
1991/5/17,103.625,104.625,103.5,17.473558,8452400
1991/5/20,104.125,104.25,103.125,17.389348,3162800
1991/5/21,103.625,104.25,100.5,17.094614,6700800
1991/5/22,102.25,104.625,102,17.620926,8968400
1991/5/23,104.5,104.625,103.75,17.620926,5525200
1991/5/24,104.625,105.125,104.5,17.684083,3820400
1991/5/28,105.25,105.375,103.625,17.705135,5766800
1991/5/29,104.625,104.625,103.75,17.536716,6608800
1991/5/30,103.625,105.125,103.625,17.578821,5716400
1991/5/31,104.375,106.5,103.75,17.873555,7060000
1991/6/3,106,107.375,105.75,17.91566,5287200
1991/6/4,105.625,106,104.625,17.684083,4880400
1991/6/5,105.375,105.5,103.125,17.389348,5948800
1991/6/6,103.125,103.625,102,17.347243,5416800
1991/6/7,102.875,103,101.375,17.178823,7041600
1991/6/10,102.375,102.75,102.125,17.241981,3941200
1991/6/11,102.75,103.5,102.125,17.220928,4547600
1991/6/12,101.875,102,100.625,17.094614,7518800
1991/6/13,101.375,101.375,100.125,16.947246,7584400
1991/6/14,101.375,101.625,99.875,16.905141,9448000
1991/6/17,99.625,100,99.5,16.757774,652800
1991/6/18,99.75,101,99.75,16.989351,6945600
1991/6/19,100.25,101.25,100,17.010404,8331200
1991/6/20,98.75,99.25,97.125,16.694616,16344000
1991/6/21,99.25,100,99.125,16.778826,12577200
1991/6/24,99.125,99.625,98.25,16.568302,9382400
1991/6/25,98.625,99.625,98.25,16.736721,6861200
1991/6/26,99.125,99.375,98.125,16.610407,6804000
