datetime,open,high,low,close,volume,adj_price
1990/12/26,114,114.25,113.5,113.5,1587200,18.712266
1990/12/27,113.25,113.875,113,113.625,2856400,18.732874
1990/12/28,113.625,113.875,113.25,113.375,2912800,18.691657
1990/12/31,113.375,113.5,112.875,113,1845200,18.629833
1991/1/2,112.875,113.75,112.125,112.125,4150800,18.485575
1991/1/3,112.375,113.875,112.25,112.5,5229600,18.5474
1991/1/4,112.75,113,111.875,112.125,4340400,18.485575
1991/1/7,111.375,111.875,110,110.25,4757600,18.176452
1991/1/8,110.375,110.375,108.75,109,6862000,17.97037
1991/1/9,109.75,110.75,106.75,106.875,8312000,17.62003
1991/1/10,107.625,108.375,107.25,108.375,3848000,17.867329
1991/1/11,107.875,108.25,107.75,108.125,2434800,17.826112
1991/1/14,106.875,107.125,105.5,106.75,6986000,17.599422
1991/1/15,106.875,107.75,106.75,107.5,4672400,17.723071
1991/1/16,107.25,109.25,106.625,109.125,6324000,17.990978
1991/1/17,115,116.125,114.25,115.75,17321600,19.083214
1991/1/18,115.25,118.25,114.875,117.625,18370000,19.392337
1991/1/21,116.75,120.125,116.625,119.625,8806000,19.722069
1991/1/22,119.375,119.625,117.75,118,7854800,19.454162
1991/1/23,117.875,120.125,117.875,119.25,8844000,19.660244
1991/1/24,120,121.625,119.875,121,11364800,19.948759
1991/1/25,121.125,122.625,120.5,122.625,9764400,20.216666
1991/1/28,122.5,125,122.375,124.25,9913200,20.484573
1991/1/29,124.125,125.375,123,124.5,7796800,20.525789
1991/1/30,124.75,127,124.625,127,10097200,20.937954
1991/1/31,126.625,127.125,126.25,126.75,6873200,20.896737
1991/2/1,126.5,127.625,125.625,126.875,7676400,20.917345
1991/2/4,126.25,127.625,125.625,127.375,6212400,21.201982
1991/2/5,127.25,128.5,127,128.5,8708400,21.389242
1991/2/6,128.125,130,128,129.875,9678400,21.618115
1991/2/7,130,131,128.375,128.5,10128000,21.389242
1991/2/8,128.875,129.875,128.25,129.5,7006800,21.555695
1991/2/11,129.875,132.5,129.625,132.375,7461200,22.034248
1991/2/12,131.5,133.875,131.5,132.75,9489600,22.096668
1991/2/13,132.375,135,132.25,134.625,7695200,22.408768
1991/2/14,134.875,136.25,133.875,135,9941600,22.471188
1991/2/15,135.5,137.875,135.375,137.375,10955600,22.866514
1991/2/19,137.25,139.75,137,139.5,9112400,23.220227
1991/2/20,138.25,138.75,137.875,137.875,7416800,22.949741
1991/2/21,138,138.25,135.5,135.5,6262000,22.554414
1991/2/22,135.625,137,132.625,133.25,9536400,22.179895
1991/2/25,134.25,135.125,132.125,133.625,7578800,22.242315
1991/2/26,132.75,133,129.75,129.75,8908400,21.597308
1991/2/27,130,130.875,128.125,130.875,8164800,21.784568
1991/2/28,131.25,131.5,127.5,128.75,8634000,21.430855
1991/3/1,128.25,131.5,128.125,131,7432400,21.805375
1991/3/4,131.25,132.5,129.875,130.625,4758400,21.742955
1991/3/5,130.625,135,129.875,133.5,9935600,22.221508
1991/3/6,134.375,134.875,132.625,132.875,8124000,22.117475
1991/3/7,132.75,133.75,131.625,132.5,4770400,22.055055
1991/3/8,133.125,133.625,131,131.25,5936000,21.846988
1991/3/11,130,130.5,128.75,129.125,7217600,21.493275
1991/3/12,128.875,129.25,126.5,127,8627200,21.139562
1991/3/13,127,129.625,126.75,129.125,6017600,21.493275
1991/3/14,129.25,130.75,126.5,128.125,7779600,21.326822
1991/3/15,127.75,127.75,126.25,126.625,10766000,21.077142
1991/3/18,126.375,128.125,126.25,127.875,5965200,21.285208
1991/3/19,118.75,119,115,115.125,25338400,19.16293
1991/3/20,115,115.375,113.5,114.125,16028400,18.996476
1991/3/21,114.75,115,111,111.875,12931200,18.621956
1991/3/22,112,112.625,111.25,111.625,11433200,18.580343
1991/3/25,111.875,113.625,111.75,113.5,6387600,18.892443
1991/3/26,113.5,114.625,113.375,113.875,5503200,18.954863
